codarea,municipio,total_doses,doses_aplicadas,porcentagem
2200053,Acauã,5.062,4.722,93.3
2200103,Agricolândia,4.225,3.379,80.0
2200202,Água Branca,12.229,11.995,98.1
2200251,Alagoinha do Piauí,4.948,4.491,90.8
2200277,Alegrete do Piauí,3.243,2.902,89.5
2200301,Alto Longá,8.991,8.052,89.6
2200400,Altos,24.114,21.127,87.6
2200459,Alvorada do Gurguéia,3.333,3.438,100
2200509,Amarante,14.236,13.939,97.9
2200608,Angical do Piauí,5.569,4.768,85.6
2200707,Anísio de Abreu,5.203,4.973,95.6
2200806,Antônio Almeida,2.295,2.185,95.2
2200905,Aroazes,4.606,4.111,89.3
2200954,Aroeiras do Itaim,1.707,1.599,93.7
2201002,Arraial,3.004,3.048,100
2201051,Assunção do Piauí,5.303,4.631,87.3
2201101,Avelino Lopes,7.488,6.405,85.5
2201150,Baixa Grande do Ribeiro,6.319,5.873,92.9
2201176,Barra D'Alcântara,2.698,2.424,89.8
2201200,Barras,26.241,21.634,82.4
2201309,Barreiras do Piauí,2.181,1.643,75.3
2201408,Barro Duro,4.754,3.953,83.2
2201507,Batalha,16.234,11.472,70.7
2201556,Bela Vista do Piauí,2.713,2.386,87.9
2201572,Belém do Piauí,2.25,2.13,94.7
2201606,Beneditinos,6.801,5.859,86.1
2201705,Bertolínia,3.687,3.462,93.9
2201739,Betânia do Piauí,4.529,3.795,83.8
2201770,Boa Hora,4.104,2.924,71.2
2201804,Bocaina,3.346,3.267,97.6
2201903,Bom Jesus,15.682,14.389,91.8
2201919,Bom Princípio do Piauí,3.389,3.087,91.1
2201929,Bonfim do Piauí,3.293,3.084,93.7
2201945,Boqueirão do Piauí,4.351,3.436,79.0
2201960,Brasileira,5.265,4.561,86.6
2201988,Brejo do Piauí,2.446,1.932,79.0
2202000,Buriti dos Lopes,12.597,10.507,83.4
2202026,Buriti dos Montes,5.428,4.23,77.9
2202059,Cabeceiras do Piauí,6.726,5.501,81.8
2202075,Cajazeiras do Piauí,2.445,2.168,88.7
2202083,Cajueiro da Praia,4.185,2.693,64.3
2202091,Caldeirão Grande do Piauí,3.379,3.07,90.9
2202109,Campinas do Piauí,6.13,4.785,78.1
2202117,Campo Alegre do Fidalgo,3.252,3.141,96.6
2202133,Campo Grande do Piauí,3.751,3.09,82.4
2202174,Campo Largo do Piauí,4.826,4.81,99.7
2202208,Campo Maior,34.64,28.263,81.6
2202251,Canavieira,2.544,1.934,76.0
2202307,Canto do Buriti,14.487,9.934,68.6
2202406,Capitão de Campos,7.458,6.974,93.5
2202455,Capitão Gervásio Oliveira,2.713,2.473,91.2
2202505,Caracol,6.205,5.661,91.2
2202539,Caraúbas do Piauí,3.272,2.673,81.7
2202554,Caridade do Piauí,3.381,2.885,85.3
2202604,Castelo do Piauí,12.924,11.616,89.9
2202653,Caxingó,2.768,2.182,78.8
2202703,Cocal,15.054,11.586,77.0
2202711,Cocal de Telha,3.536,2.899,82.0
2202729,Cocal dos Alves,3.661,3.713,100
2202737,Coivaras,2.875,2.334,81.2
2202752,Colônia do Gurguéia,3.956,3.373,85.3
2202778,Colônia do Piauí,7.1,5.429,76.5
2202802,Conceição do Canindé,3.368,2.928,86.9
2202851,Coronel José Dias,2.808,2.476,88.2
2202901,Corrente,15.429,13.673,88.6
2203008,Cristalândia do Piauí,5.575,4.735,84.9
2203107,Cristino Castro,6.545,5.624,85.9
2203206,Curimatá,7.46,6.97,93.4
2203230,Currais,3.546,3.38,95.3
2203271,Curral Novo do Piauí,3.32,2.186,65.8
2203255,Curralinhos,2.886,2.607,90.3
2203305,Demerval Lobão,8.863,6.83,77.1
2203354,Dirceu Arcoverde,4.369,3.988,91.3
2203404,Dom Expedito Lopes,4.04,3.963,98.1
2203453,Dom Inocêncio,7.896,7.207,91.3
2203420,Domingos Mourão,2.832,2.373,83.8
2203503,Elesbão Veloso,10.227,8.504,83.2
2203602,Eliseu Martins,3.297,2.799,84.9
2203701,Esperantina,27.491,21.191,77.1
2203750,Fartura do Piauí,4.706,4.722,100
2203800,Flores do Piauí,2.805,2.319,82.7
2203859,Floresta do Piauí,2.078,1.978,95.2
