Município;Doses Distribuídas às Secretarias Municipais de Saúde;Doses Aplicadas;Relação entre doses distribuídas e doses aplicadas*
Teresina;588.333;514.287;87,4%
Parnaíba;87.414;71.799;82,1%
Piripiri;47.725;35.711;74,8%
Picos;46.968;43.766;93,2%
Floriano;39.258;36.723;93,5%
Campo Maior;33.366;26.306;78,8%
União;27.289;22.709;83,2%
São Raimundo Nonato;26.184;23.862;91,1%
Pedro Ii;25.827;21.724;84,1%
Esperantina;25.757;20.478;79,5%
Barras;25.256;20.397;80,8%
Oeiras;24.553;22.482;91,6%
José De Freitas;23.722;18.131;76,4%
Altos;23.143;18.893;81,6%
Piracuruca;18.427;13.614;73,9%
Miguel Alves;17.104;15.861;92,7%
Valença Do Piauí;15.378;14.176;92,2%
São João Do Piauí;15.008;14.383;95,8%
Batalha;14.994;10.808;72,1%
Bom Jesus;14.187;13.089;92,3%
Luís Correia;13.885;10.695;77,0%
Corrente;13.864;12.756;92,0%
Cocal;13.823;11.557;83,6%
Amarante;13.798;13.763;99,7%
Canto Do Buriti;13.556;9.020;66,5%
Luzilândia;13.504;11.843;87,7%
Paulistana;13.244;10.816;81,7%
Uruçuí;12.465;9.862;79,1%
Castelo Do Piauí;12.410;10.806;87,1%
Jaicós;12.077;10.719;88,8%
Água Branca;11.784;10.953;92,9%
Buriti Dos Lopes;11.761;10.075;85,7%
São Miguel Do Tapuio;11.641;9.949;85,5%
Regeneração;11.483;8.559;74,5%
Pio Ix;9.449;8.725;92,3%
Elesbão Veloso;9.387;7.967;84,9%
Inhuma;9.380;8.067;86,0%
Alto Longá;8.724;7.754;88,9%
Simões;8.683;7.195;82,9%
Simplício Mendes;8.593;8.217;95,6%
Demerval Lobão;8.578;6.607;77,0%
São Pedro Do Piauí;8.515;7.704;90,5%
Palmeirais;7.517;6.207;82,6%
Isaías Coelho;7.510;5.543;73,8%
Dom Inocêncio;7.447;6.567;88,2%
Itainópolis;7.167;6.082;84,9%
Capitão De Campos;7.149;6.713;93,9%
Pimenteiras;7.091;6.632;93,5%
Joaquim Pires;7.049;6.268;88,9%
Fronteiras;6.934;7.100;102,4%
Colônia Do Piauí;6.892;4.990;72,4%
Avelino Lopes;6.856;6.145;89,6%
Curimatá;6.832;6.514;95,3%
Porto;6.728;5.891;87,6%
Itaueira;6.710;5.521;82,3%
Beneditinos;6.582;5.821;88,4%
Sigefredo Pacheco;6.553;5.067;77,3%
Gilbués;6.543;5.571;85,1%
Cabeceiras Do Piauí;6.433;5.466;85,0%
Monsenhor Gil;6.384;5.704;89,3%
Queimada Nova;6.128;5.501;89,8%
Parnaguá;6.052;5.311;87,8%
Baixa Grande Do Ribeiro;6.008;5.337;88,8%
Campinas Do Piauí;5.980;4.441;74,3%
Ipiranga Do Piauí;5.969;5.463;91,5%
Cristino Castro;5.968;5.417;90,8%
Monte Alegre Do Piauí;5.844;5.609;96,0%
Caracol;5.728;5.401;94,3%
Guadalupe;5.719;5.455;95,4%
Angical Do Piauí;5.396;4.101;76,0%
Nazaré Do Piauí;5.324;5.043;94,7%
Matias Olímpio;5.266;4.659;88,5%
Monsenhor Hipólito;5.213;4.866;93,3%
Buriti Dos Montes;5.188;4.036;77,8%
Cristalândia Do Piauí;5.134;4.735;92,2%
Lagoa De São Francisco;5.110;5.004;97,9%
Assunção Do Piauí;5.099;4.251;83,4%
Francisco Santos;5.055;4.607;91,1%
Brasileira;5.028;4.366;86,8%
Lagoa Alegre;4.861;4.216;86,7%
São José Do Piauí;4.808;4.048;84,2%
Redenção Do Gurguéia;4.804;3.775;78,6%
São João Da Serra;4.764;3.837;80,5%
Nazária;4.743;3.724;78,5%
Anísio De Abreu;4.738;4.582;96,7%
Alagoinha Do Piauí;4.702;4.247;90,3%
Acauã;4.607;4.816;104,5%
Barro Duro;4.563;3.892;85,3%
Campo Largo Do Piauí;4.522;4.645;102,7%
Santo Antônio De Lisboa;4.518;4.066;90,0%
Santa Cruz Do Piauí;4.513;4.144;91,8%
Ilha Grande;4.475;4.264;95,3%
Fartura Do Piauí;4.471;4.608;103,1%
Novo Oriente Do Piauí;4.470;3.648;81,6%
Nossa Senhora Dos Remédios;4.456;3.794;85,1%
Massapê Do Piauí;4.385;3.359;76,6%
Marcolândia;4.345;3.697;85,1%
Aroazes;4.287;3.922;91,5%
São Julião;4.232;4.293;101,4%
Patos Do Piauí;4.207;4.024;95,7%
Boqueirão Do Piauí;4.178;3.292;78,8%
Betânia Do Piauí;4.171;3.635;87,1%
Milton Brandão;4.168;3.161;75,8%
Ribeiro Gonçalves;4.160;3.107;74,7%
Padre Marcos;4.157;3.984;95,8%
São João Do Arraial;4.142;3.267;78,9%
Agricolândia;4.098;3.208;78,3%
Murici Dos Portelas;4.053;3.594;88,7%
Rio Grande Do Piauí;4.051;3.803;93,9%
Dirceu Arcoverde;4.040;3.637;90,0%
Boa Hora;3.926;2.788;71,0%
Madeiro;3.917;3.899;99,5%
São Francisco Do Piauí;3.915;3.592;91,7%
Dom Expedito Lopes;3.905;3.730;95,5%
