municipio,total_doses,porcentagem
2200053,1909,26.95
2200103,1646,32.03
2200202,6296,36.16
2200251,2213,28.92
2200277,1339,27.24
2200301,3992,27.91
2200400,8288,20.45
2200459,1278,23.58
2200509,6516,37.03
2200608,2228,32.82
2200707,2373,24.02
2200806,825,26.07
2200905,2330,39.93
2200954,869,34.07
2201002,1357,28.71
2201051,2048,26.1
2201101,3185,28.21
2201150,2194,18.94
2201176,1067,27.01
2201200,10618,22.56
2201309,773,23.09
2201408,2304,32.76
2201507,5118,19.06
2201556,907,22.59
2201572,1040,29.16
2201606,2828,27.02
2201705,1474,26.8
2201739,1732,27.91
2201770,1655,24.41
2201804,1852,41.16
2201903,5202,20.66
2201919,746,13.25
2201929,1457,25.7
2201945,1955,30.51
2201960,2165,25.99
2201988,958,24.72
2202000,3901,19.72
2202026,1854,22.49
2202059,2512,23.73
2202075,1143,32.12
2202083,1792,23.45
2202091,1354,26.84
2202109,2509,44.7
2202117,1400,24.24
2202133,1709,28.76
2202174,1767,24.28
2202208,14686,31.36
2202251,1084,27.44
2202307,3446,16.26
2202406,2342,20.51
2202455,1048,25.56
2202505,1782,16.32
2202539,1375,23.43
2202554,1014,20.01
2202604,5518,27.99
2202653,1018,18.77
2202703,4758,17.12
2202711,1526,31.2
2202729,1634,26.56
2202737,1435,35.7
2202752,1847,28.49
2202778,3012,39.34
2202802,1476,30.73
2202851,1376,29.39
2202901,5196,19.5
2203008,1588,19.15
2203107,2720,26.1
2203206,2888,25.36
2203230,1196,24.14
2203271,1071,20.04
2203255,1282,28.85
2203305,1715,12.41
2203354,2157,30.77
2203404,2166,31.37
2203453,2553,26.72
2203420,1121,25.74
2203503,4496,30.79
2203602,1374,27.96
2203701,9814,24.7
2203750,1963,36.99
2203800,1173,26.28
2203859,963,37.65
2203909,13974,23.32
2204006,1839,34.39
2204105,1781,40.96
2204154,509,15.99
2204204,2645,28.38
2204303,3323,28.58
2204352,1289,23.69
2204402,2618,24.49
2204501,2399,22.85
2204550,869,19.05
2204600,1350,34.82
2204659,2028,21.51
2204709,4246,27.74
2204808,2913,29.69
2204907,3531,41.3
2205003,3104,26.92
2205102,3108,28.21
2205151,1869,32.56
2205201,5527,28.93
2205250,1620,35.97
2205276,971,19.96
2205300,935,21.0
2205359,886,29.45
2205409,2824,19.67
2205458,749,13.76
2205508,0,0.0
2205516,1551,28.31
2205524,1126,20.01
2205532,1231,25.85
2205557,2123,24.85
2205573,1473,21.8
2205565,1174,25.22
2205581,1366,33.61
2205599,1269,24.51
2205540,973,34.2
2205607,1422,26.86
2205706,5374,17.73
2205805,5820,22.84
2205854,1708,20.55
2205904,1510,28.23
2205953,1523,17.93
2206001,1154,25.37
2206050,1987,30.85
2206100,2399,21.94
2206209,6964,20.63
2206308,283,22.71
2206357,1499,22.67
2206407,3368,31.88
2206506,2646,34.15
2206605,2251,21.21
2206654,1171,25.84
2206670,1675,24.65
2206696,1599,17.46
2206704,1974,26.9
2206720,2276,26.56
2206753,1781,36.57
2206803,1897,21.82
2207959,983,22.47
2206902,1964,29.92
2206951,1114,37.25
2207009,12047,32.53
2207108,980,39.85
2207207,1718,25.01
2207306,0,0.0
2207355,986,29.09
2207405,1319,26.16
2207504,2007,13.8
2207553,1410,35.74
2207603,1979,18.34
2207702,29444,19.23
2207751,1119,25.94
2207777,0,0.0
2207793,1039,25.69
2207801,5322,25.93
2207850,1179,32.06
2207900,8742,22.56
2207934,710,28.0
2208007,22811,29.16
2208106,2983,24.6
2208205,3775,20.49
2208304,7475,25.96
2208403,16915,26.54
2208502,2002,15.93
2208551,763,28.15
2208601,1541,48.91
2208650,2406,26.76
2208700,1948,22.19
2208809,3867,21.51
2208858,950,22.03
2208874,1014,22.65
2208908,1316,17.93
2209005,2085,32.42
2209104,2321,37.2
2209153,1036,25.78
2209203,1385,22.15
2209302,1424,24.3
2209377,1449,27.56
2209351,1271,27.43
2209401,2284,35.6
2209450,852,39.43
2209500,1272,33.49
2209559,1246,28.01
2209609,1351,45.92
2209658,1434,24.92
2209708,1898,29.55
2209757,592,19.47
2209807,1634,32.58
2209856,1641,35.61
2209872,920,15.23
2209906,2141,34.88
2209955,1987,41.05
2209971,1863,23.32
2210003,6594,32.01
2210052,1262,23.61
2210102,843,22.51
2210201,2284,34.06
2210300,1903,29.91
2210359,1847,40.39
2210375,786,29.73
2210383,845,34.46
2210391,787,25.9
2210409,3868,21.9
2210508,3843,26.89
2210607,11425,32.92
2210623,949,27.36
2210631,1101,25.64
2210656,2261,22.52
2210706,3497,23.9
2210805,3163,24.88
2210904,1435,31.41
2210938,1933,28.72
2210953,743,25.45
2210979,821,29.69
2211001,238131,27.53
2211100,11339,25.49
2211209,3489,16.18
2211308,8256,39.47
2211357,1483,29.98
2211407,1553,35.37
2211506,1244,40.43
2211605,945,31.81
2211704,1394,31.24
